Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Description,Amount,Currency,Account2
01/03/2024 13:27:54,Cash,🍜 Food,Eating out,,2,Expense,,2,MYR,2
01/03/2024 13:27:54,Cash,🍜 Food,Lunch,,9.4,Expense,,9.4,MYR,9.4
01/10/2023 17:00:37,Cash,🚖 Transport,Minyak,,26.85,Expense,,26.85,MYR,26.85
01/10/2023 18:21:09,Cash,🧘🏼 Health,Medicine,,24.9,Expense,,24.9,MYR,24.9
01/10/2023 18:46:52,Public Bank,Cash,,,100,Transfer-Out,,100,MYR,100
01/10/2023 19:32:53,Cash,🍜 Food,Dinner,,34.5,Expense,,34.5,MYR,34.5
01/11/2023 22:22:35,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
02/01/2024 18:50:53,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
02/01/2024 18:53:45,Cash,🧘🏼 Health,Medicine,,7,Expense,,7,MYR,7
02/01/2024 19:34:26,Cash,🍜 Food,Dinner,,12.7,Expense,,12.7,MYR,12.7
02/02/2024 12:13:52,Cash,Other,Other,,2,Expense,,2,MYR,2
02/03/2024 12:52:54,Cash,🍜 Food,Lunch,,25.9,Expense,,25.9,MYR,25.9
02/03/2024 16:49:07,Public Bank,🧘🏼 Health,Toiletries,,21.45,Expense,,21.45,MYR,21.45
02/10/2023 08:29:33,Public Bank,Phone,Yoodo,,32,Expense,,32,MYR,32
03/01/2024 08:48:12,Public Bank,🎮 Game,Nikke,,23.99,Expense,,23.99,MYR,23.99
03/10/2023 18:18:30,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
03/10/2023 23:55:16,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
03/11/2023 16:42:15,Public Bank,🎮 Game,Nikke,,23.99,Expense,,23.99,MYR,23.99
03/12/2023 11:56:04,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
03/12/2023 12:55:47,Cash,🤑 Allowance,,,180,Income,,180,MYR,180
03/12/2023 12:55:57,Cash,🧥 Apparel,,,40.1,Expense,,40.1,MYR,40.1
03/12/2023 13:20:59,Cash,🧘🏼 Health,Medicine,,8.2,Expense,,8.2,MYR,8.2
03/12/2023 13:26:10,Cash,🍜 Food,Lunch,,40.45,Expense,,40.45,MYR,40.45
03/12/2023 16:20:26,Cash,🚖 Transport,Minyak,,15,Expense,,15,MYR,15
04/02/2024 17:57:47,Cash,🍜 Food,Eating out,,3.3,Expense,,3.3,MYR,3.3
04/02/2024 22:58:26,Public Bank,🎮 Game,Honkai Star Rail,,39.9,Expense,,39.9,MYR,39.9
04/02/2024 23:40:21,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
04/03/2024 12:12:59,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
04/03/2024 13:17:17,Public Bank,Cash,,,50,Transfer-Out,,50,MYR,50
04/03/2024 13:17:17,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
04/03/2024 13:17:27,Bank Islam,Cash,,,50,Transfer-Out,,50,MYR,50
04/03/2024 13:17:27,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
04/03/2024 16:09:46,Cash,🍜 Food,Lunch,,3.9,Expense,,3.9,MYR,3.9
04/03/2024 16:55:45,Cash,🍜 Food,Eating out,,4.6,Expense,,4.6,MYR,4.6
04/03/2024 23:20:41,Cash,🍜 Food,Dinner,,9,Expense,,9,MYR,9
04/03/2024 23:20:45,Cash,🍜 Food,Beverages,,5,Expense,,5,MYR,5
04/10/2023 13:46:38,Public Bank,🎮 Game,Azurlane,,93.96,Expense,,93.96,MYR,93.96
04/10/2023 22:13:10,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
04/12/2023 16:43:55,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
05/01/2024 12:00:50,Bank Islam,Other,Other,Jam Tangan,320.29,Expense,,320.29,MYR,320.29
05/02/2024 11:53:17,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
05/02/2024 11:53:21,Cash,Other,Other,Print Resume,2,Expense,,2,MYR,2
05/02/2024 12:11:28,Cash,🧘🏼 Health,Medicine,,4.5,Expense,,4.5,MYR,4.5
05/02/2024 12:57:04,Cash,🍜 Food,Lunch,,38.5,Expense,,38.5,MYR,38.5
05/02/2024 13:02:55,Bank Islam,Cash,,,50,Transfer-Out,,50,MYR,50
05/02/2024 13:02:55,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
05/03/2024 12:02:39,Cash,🍜 Food,Lunch,,10.5,Expense,,10.5,MYR,10.5
05/03/2024 16:42:24,Cash,🍜 Food,Eating out,,9.9,Expense,,9.9,MYR,9.9
05/10/2023 18:52:40,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
05/10/2023 18:52:47,Cash,🍜 Food,Dinner,,11.6,Expense,,11.6,MYR,11.6
06/01/2024 18:09:31,Public Bank,🤑 Allowance,,,300,Income,,300,MYR,300
06/01/2024 18:09:45,Cash,🧘🏼 Health,Medicine,,4.5,Expense,,4.5,MYR,4.5
06/01/2024 18:09:49,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
06/01/2024 19:26:34,Public Bank,🍜 Food,Dinner,,23.75,Expense,,23.75,MYR,23.75
06/02/2024 19:03:42,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
06/02/2024 20:35:37,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
06/03/2024 13:19:50,Cash,🍜 Food,Eating out,,3,Expense,,3,MYR,3
06/03/2024 13:19:50,Cash,🍜 Food,Lunch,,4.4,Expense,,4.4,MYR,4.4
06/11/2023 13:33:37,Public Bank,Other,Other,Tiket Sabah,15,Expense,,15,MYR,15
06/12/2023 10:12:34,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
06/12/2023 12:42:06,Public Bank,🚖 Transport,Grabcar,,8,Expense,,8,MYR,8
06/12/2023 13:19:38,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
06/12/2023 13:40:43,Cash,🍜 Food,Lunch,,25.8,Expense,,25.8,MYR,25.8
06/12/2023 14:07:02,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
06/12/2023 15:27:53,Cash,Other,Other,LAMINATE KERTAS KONVO,10,Expense,,10,MYR,10
07/03/2024 13:27:56,Cash,🍜 Food,Eating out,,4.6,Expense,,4.6,MYR,4.6
07/03/2024 16:33:23,Cash,🧘🏼 Health,Medicine,,10,Expense,,10,MYR,10
07/03/2024 23:44:22,Bank Islam,🤑 Allowance,,,200,Income,,200,MYR,200
07/10/2023 17:53:22,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
07/10/2023 18:03:52,Cash,🍜 Food,Dinner,,20.05,Expense,,20.05,MYR,20.05
07/10/2023 18:27:23,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
07/10/2023 18:35:38,Cash,🍜 Food,Dinner,,4,Expense,,4,MYR,4
07/11/2023 14:40:16,Cash,🤑 Allowance,,,60,Income,,60,MYR,60
07/11/2023 14:40:26,Cash,🍜 Food,Lunch,,21,Expense,,21,MYR,21
07/11/2023 14:53:54,Public Bank,🚖 Transport,Grabcar,,10,Expense,,10,MYR,10
07/12/2023 20:56:03,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
08/01/2024 11:18:38,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
08/01/2024 11:18:51,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
08/01/2024 11:19:01,Bank Rakyat,🤑 Allowance,,,50,Income,,50,MYR,50
08/01/2024 13:04:31,Cash,🍜 Food,Lunch,,13.45,Expense,,13.45,MYR,13.45
08/01/2024 13:27:23,Cash,🍜 Food,Groceries,,4.6,Expense,,4.6,MYR,4.6
08/01/2024 13:45:12,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
08/03/2024 13:57:43,Public Bank,Phone,Maxis,,72.05,Expense,,72.05,MYR,72.05
08/10/2023 18:13:27,Public Bank,🚖 Transport,Parking Ticket,,2.4,Expense,,2.4,MYR,2.4
08/10/2023 18:13:33,Cash,🧘🏼 Health,Gym,,5,Expense,,5,MYR,5
08/11/2023 13:03:27,Public Bank,🎮 Game,Genshin Impact,,19.9,Expense,,19.9,MYR,19.9
08/12/2023 17:04:57,Cash,🍜 Food,Eating out,,2,Expense,,2,MYR,2
08/12/2023 17:05:03,Cash,🍜 Food,Groceries,,5,Expense,,5,MYR,5
08/12/2023 17:36:59,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
08/12/2023 17:37:05,Cash,Other,Other,,15,Expense,,15,MYR,15
08/12/2023 20:56:27,Cash,🧘🏼 Health,Medicine,,40,Expense,,40,MYR,40
09/02/2024 19:17:27,Public Bank,🍜 Food,Dinner,,23.3,Expense,,23.3,MYR,23.3
09/02/2024 19:17:44,Cash,🧘🏼 Health,Gym,,10,Expense,,10,MYR,10
09/03/2024 08:22:41,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
09/03/2024 15:07:24,Cash,🍜 Food,Lunch,,12.9,Expense,,12.9,MYR,12.9
09/03/2024 19:58:02,Cash,🍜 Food,Beverages,,10.9,Expense,,10.9,MYR,10.9
09/10/2023 08:15:16,Public Bank,Other,Other,RENEW IC,10,Expense,,10,MYR,10
09/10/2023 09:40:18,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
