Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
01/02/2023 12:31:22,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
01/02/2023 12:31:30,Dompet,Food & Drink,Breakfast,,4,Expense,,4,MYR,4
01/02/2023 18:08:37,Dompet,Food & Drink,Dinner,,5.5,Expense,,5.5,MYR,5.5
01/02/2023 18:08:44,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
01/03/2023 11:58:59,Bank Islam,Dompet,,,50,Transfer-Out,,50,MYR,50
01/03/2023 13:03:15,Public Bank,Transportation,GrabCar,,7,Expense,,7,MYR,7
01/03/2023 21:06:16,Dompet,Transportation,Bus,,4,Expense,,4,MYR,4
01/03/2023 21:06:23,Dompet,Food & Drink,Lunch,,24.9,Expense,,24.9,MYR,24.9
01/04/2023 23:25:52,Public Bank,Game,Azurlane,,19.99,Expense,,19.99,MYR,19.99
01/04/2023 23:26:02,Dompet,Allowance,,,100,Income,,100,MYR,100
01/05/2023 00:20:02,Dompet,Food & Drink,Drink,,3.4,Expense,,3.4,MYR,3.4
01/05/2023 00:20:09,Public Bank,Credit Topup,Yoodo,,15,Expense,,15,MYR,15
01/05/2023 11:11:54,Dompet,Other,,,15,Expense,,15,MYR,15
01/05/2023 11:12:01,Dompet,Food & Drink,Barang Dapur,,11.1,Expense,,11.1,MYR,11.1
01/06/2023 11:35:39,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
01/07/2023 13:33:11,Bank Islam,Public Bank,,,150,Transfer-Out,,150,MYR,150
01/07/2023 13:35:54,Bank Islam,Health,Gym,,30,Expense,,30,MYR,30
01/07/2023 19:22:59,Dompet,Food & Drink,Dinner,,10,Expense,,10,MYR,10
01/08/2023 11:45:16,Public Bank,Credit Topup,Yoodo,,52,Expense,,52,MYR,52
01/11/2022 12:37:11,Dompet,Food & Drink,Lunch,,8,Expense,,8,MYR,8
01/11/2022 15:12:45,Dompet,Food & Drink,Lunch,,5.9,Expense,,5.9,MYR,5.9
01/12/2022 17:04:39,Public Bank,Dompet,,,50,Transfer-Out,,50,MYR,50
01/12/2022 17:04:49,Bank Islam,Dompet,,,50,Transfer-Out,,50,MYR,50
01/12/2022 17:29:15,Dompet,Food & Drink,Dinner,,13,Expense,,13,MYR,13
02/01/2023 17:35:45,Public Bank,Allowance,,,100,Income,,100,MYR,100
02/02/2023 05:21:33,Public Bank,Game,Blue Archive,,14.99,Expense,,14.99,MYR,14.99
02/02/2023 17:34:13,Public Bank,Dompet,,,50,Transfer-Out,,50,MYR,50
02/02/2023 17:34:24,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
02/02/2023 17:41:15,Dompet,Food & Drink,Dinner,,2,Expense,,2,MYR,2
02/02/2023 17:54:34,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
02/02/2023 18:25:57,Public Bank,Food & Drink,Dinner,,44.52,Expense,,44.52,MYR,44.52
02/04/2023 17:13:20,Dompet,Health,Toiletries,,16.15,Expense,,16.15,MYR,16.15
02/06/2023 11:41:22,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
02/06/2023 11:41:22,Dompet,Food & Drink,Lunch,,4.5,Expense,,4.5,MYR,4.5
02/07/2023 11:13:25,Public Bank,Credit Topup,Yoodo,,80,Expense,,80,MYR,80
02/07/2023 14:08:39,Dompet,Allowance,,,100,Income,,100,MYR,100
02/07/2023 14:11:46,Dompet,Apparel,,,39.9,Expense,,39.9,MYR,39.9
02/07/2023 15:06:07,Dompet,Transportation,Kereta,,3,Expense,,3,MYR,3
02/07/2023 15:06:14,Dompet,Allowance,,,40,Income,,40,MYR,40
02/07/2023 16:08:31,Dompet,Food & Drink,Lunch,,8.3,Expense,,8.3,MYR,8.3
02/07/2023 16:57:30,Dompet,Food & Drink,Dinner,,15,Expense,,15,MYR,15
02/08/2023 05:45:45,Bank Islam,Allowance,,,200,Income,,200,MYR,200
02/08/2023 18:30:28,Dompet,Health,Gym,,8,Expense,,8,MYR,8
02/08/2023 19:31:37,Dompet,Food & Drink,Dinner,,31.7,Expense,,31.7,MYR,31.7
02/08/2023 21:30:39,Dompet,Allowance,,,100,Income,,100,MYR,100
02/10/2022 14:56:19,Dompet,Food & Drink,,,30,Expense,,30,MYR,30
02/11/2022 11:04:44,Public Bank,Boost,,,50,Transfer-Out,,50,MYR,50
02/11/2022 11:13:17,Boost,Modified Bal.,,Difference,50,Income,,50,MYR,50
02/11/2022 11:13:33,Boost,Food & Drink,Lunch,,20.9,Expense,,20.9,MYR,20.9
02/12/2022 17:51:13,Public Bank,Allowance,,,200,Income,,200,MYR,200
02/12/2022 17:55:05,Dompet,Food & Drink,Dinner,,7,Expense,,7,MYR,7
03/02/2023 13:21:25,Dompet,Food & Drink,Lunch,,5,Expense,,5,MYR,5
03/02/2023 13:21:33,Dompet,Food & Drink,Drink,,3,Expense,,3,MYR,3
03/02/2023 18:05:06,Dompet,Food & Drink,Dinner,,5.5,Expense,,5.5,MYR,5.5
03/05/2023 13:12:00,Dompet,Food & Drink,Lunch,,2,Expense,,2,MYR,2
03/05/2023 13:12:05,Dompet,Transportation,Bus,,4,Expense,,4,MYR,4
03/05/2023 15:06:08,Dompet,Food & Drink,Lunch,,10,Expense,,10,MYR,10
03/05/2023 23:31:43,Public Bank,Game,Star Rail,,19.9,Expense,,19.9,MYR,19.9
03/06/2023 17:43:35,Dompet,Food & Drink,Barang Dapur,,3.9,Expense,,3.9,MYR,3.9
03/07/2023 11:58:01,Public Bank,Game,Path to Nowhere,,23.99,Expense,,23.99,MYR,23.99
03/07/2023 21:38:18,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
03/08/2022 18:57:13,Dompet,Allowance,,DOMPET,200,Income,,200,MYR,200
03/11/2022 10:06:46,Boost,Food & Drink,Lunch,,11,Expense,,11,MYR,11
03/11/2022 12:19:39,Boost,Food & Drink,Lunch,,12.4,Expense,,12.4,MYR,12.4
03/12/2022 05:32:54,Public Bank,Game,Honkai,,23.9,Expense,,23.9,MYR,23.9
03/12/2022 06:37:14,Public Bank,Credit Topup,Yoodo,,17,Expense,,17,MYR,17
03/12/2022 17:58:24,Dompet,Food & Drink,Dinner,,13,Expense,,13,MYR,13
04/01/2023 17:38:23,Boost,Food & Drink,Lunch,,4,Expense,,4,MYR,4
04/01/2023 17:38:57,Dompet,Food & Drink,Lunch,,6,Expense,,6,MYR,6
04/01/2023 18:07:06,Dompet,Food & Drink,Dinner,,9.5,Expense,,9.5,MYR,9.5
04/02/2023 17:57:51,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
04/02/2023 17:57:57,Dompet,Food & Drink,Drink,,3,Expense,,3,MYR,3
04/03/2023 21:15:50,Dompet,Food & Drink,Dinner,,11,Expense,,11,MYR,11
04/03/2023 21:15:50,Dompet,Health,Gym,,10,Expense,,10,MYR,10
04/04/2023 17:10:04,Dompet,Transportation,Bus,,4,Expense,,4,MYR,4
04/05/2023 07:32:13,Dompet,Food & Drink,Breakfast,,10.3,Expense,,10.3,MYR,10.3
04/05/2023 17:52:48,Dompet,Food & Drink,Barang Dapur,,19.55,Expense,,19.55,MYR,19.55
